"policyid,srcintf,dstintf,srcaddr,dstaddr,service,action,schedule,nat,comments"
"1,port1,port2,""User_LAN"",""App_Tier"",""HTTPS"",accept,always,none,""Users to apps"""
"2,port2,port3,""App_Tier"",""DB_Tier"",""MSSQL"",accept,always,none,""Apps to DB"""
"3,port3,port2,""DB_Tier"",""App_Tier"",""ICMP"",deny,always,none,""No DB ping apps"""
"4,port1,port2,""Dev_LAN"",""App_Tier"",""SSH"",accept,always,none,""Dev SSH to apps"""
"5,port1,port5,""User_LAN"",""Any"",""ANY"",accept,always,enabled,""Internet outbound - broad"""
"6,port5,port1,""Any"",""User_LAN"",""ANY"",deny,always,none,""Default inbound deny"""
"7,port5,port2,""Any"",""App_Tier_Web"",""HTTPS"",accept,always,enabled,""Public web hosting"""
"8,port5,port2,""Any"",""App_Tier_Web"",""HTTP"",accept,always,enabled,""Legacy HTTP hosting"""
"9,port5,port2,""Any"",""App_Tier"",""RDP"",deny,always,none,""Block external RDP"""
"10,port5,port3,""Any"",""DB_Tier"",""ANY"",deny,always,none,""Block direct DB access"""
"11,port4,port1,""Guest_LAN"",""User_LAN"",""ANY"",deny,always,none,""Guest isolation"""
"12,port4,port5,""Guest_LAN"",""Any"",""HTTP,HTTPS"",accept,always,enabled,""Guest internet"""
"13,port6,port2,""VPN_Admins"",""App_Tier"",""SSH,RDP"",accept,always,none,""Admin remote mgmt"""
"14,port6,port3,""VPN_Admins"",""DB_Tier"",""SQL"",accept,always,none,""Admin DB access"""
"15,port1,port2,""192.168.100.0/24"",""App_Tier"",""ANY"",accept,always,none,""Legacy subnet allowed all"""
"16,port2,port3,""App_Tier"",""DB_Tier"",""Oracle"",accept,always,none,""Oracle app traffic"""
"17,port2,port5,""App_Tier"",""Any"",""SMTP"",accept,always,enabled,""Mail relay"""
"18,port2,port5,""App_Tier"",""Any"",""NTP"",accept,always,enabled,""Time sync"""
"19,port1,port5,""User_LAN"",""Any"",""DNS"",accept,always,enabled,""DNS queries"""
"20,port2,port1,""App_Tier"",""User_LAN"",""SNMP"",deny,always,none,""Block SNMP leakage"""
