vendor,rule_id,src,dst,service,action,reason,severity
fortinet,1,User_LAN,App_Tier,HTTPS,accept,Users to apps,
fortinet,2,App_Tier,DB_Tier,MSSQL,accept,Apps to DB,
fortinet,3,DB_Tier,App_Tier,ICMP,deny,No DB ping apps,
fortinet,4,Dev_LAN,App_Tier,SSH,accept,Dev SSH to apps,
fortinet,5,User_LAN,Any,ANY,accept,Internet outbound - broad,
fortinet,6,Any,User_LAN,ANY,deny,Default inbound deny,
fortinet,7,Any,App_Tier_Web,HTTPS,accept,Public web hosting,
fortinet,8,Any,App_Tier_Web,HTTP,accept,Legacy HTTP hosting,
fortinet,9,Any,App_Tier,RDP,deny,Block external RDP,
fortinet,10,Any,DB_Tier,ANY,deny,Block direct DB access,
fortinet,11,Guest_LAN,User_LAN,ANY,deny,Guest isolation,
fortinet,12,Guest_LAN,Any,HTTP,HTTPS,enabled,
fortinet,13,VPN_Admins,App_Tier,SSH,RDP,none,
fortinet,14,VPN_Admins,DB_Tier,SQL,accept,Admin DB access,
fortinet,15,192.168.100.0/24,App_Tier,ANY,accept,Legacy subnet allowed all,
fortinet,16,App_Tier,DB_Tier,Oracle,accept,Oracle app traffic,
fortinet,17,App_Tier,Any,SMTP,accept,Mail relay,
fortinet,18,App_Tier,Any,NTP,accept,Time sync,
fortinet,19,User_LAN,Any,DNS,accept,DNS queries,
fortinet,20,App_Tier,User_LAN,SNMP,deny,Block SNMP leakage,
