"num,name,source,destination,service,action,track,install_on,enabled,comments",,,,,,,
"1,Allow_Internal_Web,""Internal_Net"",""Web_DMZ"",""HTTP/HTTPS"",Accept,Log,FW1,True,""LAN to DMZ web""",,,,,,,
"2,Allow_App_to_DB,""Web_DMZ"",""DB_Net"",""MSSQL"",Accept,Log,FW1,True,""App servers to DB""",,,,,,,
"3,Deny_Guest_to_Internal,""Guest_Net"",""Internal_Net"",""Any"",Drop,None,FW1,True,""Guest isolation""",,,,,,,
"4,Allow_LAN_DNS,""Internal_Net"",""Any"",""DNS"",Accept,Log,FW1,True,""DNS queries""",,,,,,,
"5,Allow_LAN_NTP,""Internal_Net"",""Any"",""NTP"",Accept,None,FW1,True,""Time sync""",,,,,,,
"6,Block_Guest_SMTP,""Guest_Net"",""Any"",""SMTP"",Drop,Log,FW1,True,""Prevent guest mail relay""",,,,,,,
"7,Allow_VPN_Admin_SSH,""VPN_Net"",""Internal_Servers"",""SSH"",Accept,Log,FW1,True,""Admin remote SSH""",,,,,,,
"8,Allow_VPN_Admin_RDP,""VPN_Net"",""Internal_Servers"",""RDP"",Accept,Log,FW1,True,""Admin RDP""",,,,,,,
"9,Block_Internet_RDP,""Any"",""Internal_Net"",""RDP"",Drop,Log,FW1,True,""Block inbound RDP""",,,,,,,
"10,Block_Internet_SSH,""Any"",""Internal_Net"",""SSH"",Drop,Log,FW1,True,""Block inbound SSH""",,,,,,,
"11,Allow_DMZ_SMTP,""Web_DMZ"",""Any"",""SMTP"",Accept,Log,FW1,True,""Mail relay""",,,,,,,
"12,Legacy_Host_Bypass,""10.0.1.200"",""Any"",""Any"",Accept,Log,FW1,True,""Legacy unrestricted host""",,,,,,,
"13,Block_Internal_FTP,""Internal_Net"",""Any"",""FTP"",Drop,Log,FW1,True,""Block FTP egress""",,,,,,,
"14,Allow_App_Oracle,""Web_DMZ"",""DB_Net"",""Oracle"",Accept,Log,FW1,True,""Oracle app traffic""",,,,,,,
"15,Allow_Internal_Internet,""Internal_Net"",""Any"",""Any"",Accept,Log,FW1,True,""Broad outbound rule""",,,,,,,
"16,Block_DMZ_SNMP,""Web_DMZ"",""Internal_Net"",""SNMP"",Drop,Log,FW1,True,""Block SNMP from DMZ""",,,,,,,
"17,Allow_Backup_Sync,""Internal_Backup"",""DMZ_Backup"",""SMB"",Accept,Log,FW1,True,""File backup sync""",,,,,,,
"18,Allow_Branch_VPN,""Branch_VPN"",""Internal_Net"",""SMB/RDP"",Accept,Log,FW1,True,""HQ-Branch VPN""",,,,,,,
"19,Allow_Specific_Admin,""10.0.1.50"",""Core_Switch"",""SSH"",Accept,Log,FW1,True,""Dedicated admin host""",,,,,,,
"20,Default_Deny,""Any"",""Any"",""Any"",Drop,None,FW1,True,""Catch-all deny""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,\
