"num,name,source,destination,service,action,track,install_on,enabled,comments",,,,,,,
"1,Users_to_App,""User_LAN"",""App_Tier"",""HTTPS"",Accept,Log,FW3,True,""Users to apps""",,,,,,,
"2,App_to_DB,""App_Tier"",""DB_Tier"",""MSSQL"",Accept,Log,FW3,True,""App servers to DB""",,,,,,,
"3,Block_DB_ICMP,""DB_Tier"",""App_Tier"",""ICMP"",Drop,None,FW3,True,""No ping from DB""",,,,,,,
"4,Dev_to_App_SSH,""Dev_LAN"",""App_Tier"",""SSH"",Accept,Log,FW3,True,""Developers to apps""",,,,,,,
"5,Internet_to_Web,""Any"",""App_Web"",""HTTP/HTTPS"",Accept,Log,FW3,True,""Public web hosting""",,,,,,,
"6,Block_Internet_RDP,""Any"",""App_Tier"",""RDP"",Drop,Log,FW3,True,""No external RDP""",,,,,,,
"7,Block_Internet_DB,""Any"",""DB_Tier"",""Any"",Drop,Log,FW3,True,""Block external DB""",,,,,,,
"8,VPN_Admin_SSH,""VPN_Admins"",""App_Tier"",""SSH"",Accept,Log,FW3,True,""Admin remote SSH""",,,,,,,
"9,VPN_Admin_SQL,""VPN_Admins"",""DB_Tier"",""MSSQL"",Accept,Log,FW3,True,""Admin DB access""",,,,,,,
"10,App_SMTP,""App_Tier"",""Any"",""SMTP"",Accept,Log,FW3,True,""App mail relay""",,,,,,,
"11,App_NTP,""App_Tier"",""Any"",""NTP"",Accept,None,FW3,True,""App NTP sync""",,,,,,,
"12,Users_DNS,""User_LAN"",""Any"",""DNS"",Accept,Log,FW3,True,""User DNS""",,,,,,,
"13,Block_SNMP_App_to_User,""App_Tier"",""User_LAN"",""SNMP"",Drop,Log,FW3,True,""Block SNMP leaks""",,,,,,,
"14,App_to_DB_Oracle,""App_Tier"",""DB_Tier"",""Oracle"",Accept,Log,FW3,True,""Oracle traffic""",,,,,,,
"15,DB_Backup_to_App,""DB_Tier"",""App_Tier"",""SMB"",Accept,Log,FW3,True,""Backup sync""",,,,,,,
"16,Legacy_Host_Bypass,""10.1.50.50"",""App_Web"",""Any"",Accept,Log,FW3,True,""Legacy full access""",,,,,,,
"17,Block_Guest_ICMP,""Guest_LAN"",""App_Tier"",""ICMP"",Drop,None,FW3,True,""Block guest pings""",,,,,,,
"18,Users_to_Internet,""User_LAN"",""Any"",""Any"",Accept,Log,FW3,True,""Broad egress""",,,,,,,
"19,Block_App_Telnet,""App_Tier"",""Any"",""Telnet"",Drop,Log,FW3,True,""Block cleartext telnet""",,,,,,,
"20,Default_Deny,""Any"",""Any"",""Any"",Drop,None,FW3,True,""Catch-all deny""",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,\
